Date,Price,Open,High,Low,Vol.,Change %
"Jan 13, 2019",123.02,123.75,130.30,112.79,23.75M,-0.59%
"Jan 06, 2019",123.75,153.48,158.29,121.28,26.22M,-19.37%
"Dec 30, 2018",153.49,133.64,159.78,129.51,30.58M,14.83%
"Dec 23, 2018",133.67,115.85,158.27,112.59,44.99M,15.40%
"Dec 16, 2018",115.84,83.90,118.67,83.89,35.27M,38.06%
"Dec 09, 2018",83.90,90.56,98.76,81.97,28.22M,-7.36%
"Dec 02, 2018",90.57,118.23,127.08,77.65,30.17M,-23.40%
"Nov 25, 2018",118.23,114.42,126.60,102.80,34.99M,3.32%
"Nov 18, 2018",114.43,176.53,182.07,111.79,30.94M,-35.18%
"Nov 11, 2018",176.53,213.19,214.95,171.99,297.50M,-17.20%
"Nov 04, 2018",213.21,200.27,224.64,199.38,212.10M,6.48%
"Oct 28, 2018",200.23,204.36,205.79,193.00,96.58M,-2.02%
"Oct 21, 2018",204.36,207.76,211.65,202.99,122.69M,-1.77%
"Oct 14, 2018",208.04,201.22,235.83,195.40,160.37M,3.39%
"Oct 07, 2018",201.22,225.19,232.66,188.65,11.42M,-10.64%
"Sep 30, 2018",225.18,231.90,238.64,216.44,56.46M,-2.88%
"Sep 23, 2018",231.87,240.82,249.02,204.84,42.56M,-3.71%
"Sep 16, 2018",240.82,221.94,254.36,192.87,41.16M,8.50%
"Sep 09, 2018",221.94,196.69,259.37,169.08,43.33M,12.78%
"Sep 02, 2018",196.79,295.32,299.38,191.16,37.21M,-33.36%
"Aug 26, 2018",295.31,277.61,301.92,269.75,32.61M,6.37%
"Aug 19, 2018",277.61,293.90,306.30,266.40,29.14M,-5.54%
"Aug 12, 2018",293.89,317.63,327.51,250.84,28.52M,-7.46%
"Aug 05, 2018",317.59,407.11,413.40,305.19,10.62M,-21.98%
"Jul 29, 2018",407.09,468.89,471.78,398.10,9.64M,-13.16%
"Jul 22, 2018",468.78,461.51,484.97,448.14,8.61M,1.57%
"Jul 15, 2018",461.52,434.09,515.20,432.59,9.70M,6.32%
"Jul 08, 2018",434.09,485.40,494.03,418.71,9.95M,-10.57%
"Jul 01, 2018",485.40,452.72,486.18,442.29,11.76M,7.23%
"Jun 24, 2018",452.67,474.14,475.74,406.12,19.89M,-4.53%
