"Date","Price","Open","High","Low","Vol.","Change %"
"21/10/2018","204.23","208.08","211.85","202.38","","-1.85%"
"14/10/2018","208.08","201.25","237.83","194.68","","3.24%"
"07/10/2018","201.55","224.38","232.00","189.30","","-10.17%"
"30/09/2018","224.38","231.31","238.06","216.20","","-2.92%"
"23/09/2018","231.11","241.47","249.39","203.75","","-4.27%"
"16/09/2018","241.43","222.10","254.77","192.65","","8.62%"
"09/09/2018","222.28","196.61","226.86","167.78","","13.15%"
"02/09/2018","196.45","295.31","299.38","190.63","","-33.60%"
"26/08/2018","295.87","277.70","302.45","269.67","","6.54%"
"19/08/2018","277.70","293.97","306.65","259.91","","-5.54%"
"12/08/2018","294.01","318.12","326.88","250.36","","-7.58%"
"05/08/2018","318.12","407.29","413.33","305.00","","-21.89%"
"29/07/2018","407.29","468.39","472.24","397.26","","-13.04%"
"22/07/2018","468.39","460.25","484.96","442.09","","1.56%"
"15/07/2018","461.19","433.19","515.00","431.16","","6.47%"
"08/07/2018","433.19","486.58","493.87","418.46","","-10.84%"
"01/07/2018","485.84","455.63","486.75","444.00","","6.87%"
"24/06/2018","454.62","474.11","474.99","403.43","","-4.11%"
"17/06/2018","474.11","496.13","546.75","448.66","","-4.44%"
"10/06/2018","496.13","592.76","592.90","450.28","","-16.30%"
"03/06/2018","592.76","594.45","629.06","576.00","","-0.06%"
"27/05/2018","593.10","587.77","601.24","507.78","","0.59%"
"20/05/2018","589.62","696.25","729.00","550.49","","-15.32%"
"13/05/2018","696.25","681.24","760.00","0.00","","2.20%"
"06/05/2018","681.24","816.38","848.85","637.89","","-16.55%"
"29/04/2018","816.38","685.05","840.00","635.45","","19.17%"
"22/04/2018","685.05","608.39","716.01","594.18","","12.73%"
"15/04/2018","607.71","502.95","623.00","493.00","","20.83%"
"08/04/2018","502.95","382.59","539.76","379.10","","31.46%"
"01/04/2018","382.59","393.60","417.90","341.63","","-2.80%"
"25/03/2018","393.60","517.00","539.76","366.21","","-23.87%"
"18/03/2018","517.00","547.89","588.66","455.20","","-5.64%"
"11/03/2018","547.89","680.91","748.89","540.00","","-19.54%"
"04/03/2018","680.91","853.59","875.00","624.50","","-20.23%"
"25/02/2018","853.59","826.13","904.65","812.85","","3.31%"
"18/02/2018","826.22","970.83","970.83","793.00","","-14.89%"
"11/02/2018","970.77","859.33","970.77","781.48","","12.97%"
"04/02/2018","859.33","977.47","1,000.00","551.00","","-12.09%"
"28/01/2018","977.47","1,134.30","1,280.00","731.00","","-13.83%"
"21/01/2018","1,134.30","1,178.29","1,200.00","944.97","","-3.73%"
